num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
55.0,156.97,장원테크,11450.0,550.0,+5.05%,11350.0,11400.0,219237.0,85315.0
56.0,154.86,옴니시스템,2315.0,75.0,-3.14%,2305.0,2310.0,422589.0,165813.0
57.0,145.99,자이글,6140.0,70.0,+1.15%,6100.0,6140.0,106552.0,43316.0
58.0,145.78,에프엔에스테크,5000.0,120.0,-2.34%,5020.0,5030.0,24013.0,9770.0
59.0,144.3,세보엠이씨,10850.0,700.0,-6.06%,10900.0,10950.0,110324.0,45160.0
60.0,143.78,하나마이크론,4210.0,170.0,-3.88%,4200.0,4205.0,295126.0,121064.0
61.0,143.16,에프엔씨엔터,9420.0,360.0,+3.97%,9300.0,9320.0,130072.0,53493.0
62.0,143.12,STC,1605.0,20.0,+1.26%,1590.0,1610.0,1646619.0,677279.0
63.0,142.48,교보비엔케이스팩,2160.0,30.0,+1.41%,2165.0,2180.0,338997.0,139802.0
64.0,140.1,다나와,21000.0,1100.0,-4.98%,20800.0,20850.0,85074.0,35432.0
65.0,136.03,코리아에스이,2030.0,30.0,+1.50%,2005.0,2010.0,357319.0,151386.0
66.0,135.88,유성티엔에스,3280.0,35.0,-1.06%,3280.0,3290.0,66299.0,28107.0
67.0,134.47,아이원스,12000.0,800.0,-6.25%,12000.0,12050.0,110498.0,47127.0
68.0,133.51,백금T&A,2930.0,105.0,-3.46%,2920.0,2930.0,243223.0,104158.0
69.0,130.71,다우데이타,10350.0,500.0,-4.61%,10300.0,10350.0,143970.0,62403.0
70.0,128.05,제이엠아이,1495.0,15.0,+1.01%,1485.0,1495.0,294674.0,129213.0
71.0,127.58,디엔에프,9730.0,320.0,-3.18%,9720.0,9730.0,108813.0,47813.0
72.0,127.33,알에프텍,5100.0,100.0,+2.00%,5090.0,5100.0,120120.0,52839.0
73.0,126.23,SFA반도체,1860.0,40.0,-2.11%,1855.0,1860.0,280961.0,124195.0
74.0,123.65,퓨전데이타,8690.0,510.0,+6.23%,8410.0,8460.0,366886.0,164047.0
75.0,122.71,동원개발,3995.0,65.0,-1.60%,4000.0,4005.0,56088.0,25184.0
76.0,121.41,골든브릿지제4호스팩,1745.0,115.0,-6.18%,1750.0,1755.0,244759.0,110546.0
77.0,119.68,매일홀딩스,13100.0,300.0,-2.24%,13100.0,13150.0,15986.0,7277.0
78.0,114.19,루미마이크로,2190.0,70.0,+3.30%,2165.0,2180.0,1153608.0,538589.0
79.0,113.61,인터플렉스,12150.0,650.0,-5.08%,12050.0,12100.0,272354.0,127501.0
80.0,113.55,아이쓰리시스템,17650.0,900.0,-4.85%,17550.0,17600.0,63505.0,29738.0
81.0,112.98,KG이니시스,17300.0,900.0,-4.95%,17300.0,17350.0,196713.0,92361.0
